
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.38
16                     23.31
32                     23.29
64                     23.47
128                    24.72
256                    30.33
512                    31.74
1024                   40.01
2048                   68.90
4096                  125.75
8192                  266.27
16384                 576.10
32768                1068.53
65536                2072.11
131072               4163.95
262144               4297.49
524288               8455.70
1048576             17355.51
2097152             36411.37
4194304             75763.70
8388608            154221.58
16777216           302196.49
33554432           650788.80
67108864          1298042.39
