
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.36
16                     23.30
32                     23.35
64                     23.41
128                    24.68
256                    30.19
512                    31.63
1024                   39.50
2048                   70.11
4096                  126.24
8192                  266.24
16384                 535.24
32768                1056.30
65536                2057.34
131072               4122.83
262144               4268.70
524288               8467.49
1048576             17411.17
2097152             36479.45
4194304             75832.63
8388608            154556.67
16777216           301624.19
33554432           650102.97
67108864          1309418.71
