
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.36
16                     23.34
32                     23.34
64                     23.52
128                    24.73
256                    30.50
512                    31.75
1024                   40.54
2048                   71.83
4096                  126.02
8192                  266.94
16384                 531.96
32768                1106.60
65536                2086.02
131072               4167.73
262144               4288.11
524288               8468.11
1048576             17394.19
2097152             36328.32
4194304             75527.49
8388608            153748.67
16777216           302396.27
33554432           650172.68
67108864          1297550.60
