
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      29.01
16                     28.99
32                     28.88
64                     29.11
128                    33.75
256                    36.80
512                    37.53
1024                   40.90
2048                   48.78
4096                   70.21
8192                  142.64
16384                 244.86
32768                 435.92
65536                1149.08
131072               2175.19
262144               4318.27
524288               8588.77
1048576             17599.13
2097152             36933.36
4194304             76947.33
8388608            155175.00
16777216           306818.06
33554432           621509.46
67108864          1247512.87
