
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.61
16                     28.69
32                     28.60
64                     28.83
128                    33.42
256                    36.56
512                    37.36
1024                   40.27
2048                   48.35
4096                   71.52
8192                  139.52
16384                 227.13
32768                 420.79
65536                1173.49
131072               2183.39
262144               4285.42
524288               8578.78
1048576             17609.60
2097152             36878.10
4194304             76938.25
8388608            156981.89
16777216           306033.75
33554432           621860.52
67108864          1245674.21
