
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.33
16                     23.32
32                     23.28
64                     23.45
128                    24.60
256                    30.21
512                    31.57
1024                   39.89
2048                   69.50
4096                  125.60
8192                  265.72
16384                 528.95
32768                1065.92
65536                2080.59
131072               4133.93
262144               4269.80
524288               8475.60
1048576             17370.82
2097152             36517.35
4194304             75724.65
8388608            153982.17
16777216           301672.72
33554432           654064.73
67108864          1309033.97
