
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.32
16                     23.29
32                     23.30
64                     23.52
128                    24.63
256                    30.28
512                    31.72
1024                   41.61
2048                   70.86
4096                  126.33
8192                  268.11
16384                 575.43
32768                1083.36
65536                2074.24
131072               4148.63
262144               4255.80
524288               8506.80
1048576             17474.25
2097152             36389.44
4194304             76342.15
8388608            155923.03
16777216           303105.28
33554432           652782.96
67108864          1303799.78
