
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.67
16                     28.73
32                     28.63
64                     28.84
128                    33.54
256                    36.61
512                    37.38
1024                   40.11
2048                   48.50
4096                   71.95
8192                  142.22
16384                 231.13
32768                 417.30
65536                1125.94
131072               2183.36
262144               4284.07
524288               8606.76
1048576             17667.78
2097152             36906.41
4194304             76917.86
8388608            155749.74
16777216           306907.41
33554432           622176.44
67108864          1246547.97
