
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.78
16                     29.07
32                     28.89
64                     30.53
128                    33.71
256                    36.62
512                    37.50
1024                   40.22
2048                   49.00
4096                   71.84
8192                  139.46
16384                 247.03
32768                 416.70
65536                1157.64
131072               2173.85
262144               4286.32
524288               8567.03
1048576             17613.63
2097152             36845.85
4194304             76741.72
8388608            155547.11
16777216           305553.88
33554432           618603.91
67108864          1243954.20
