
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.96
16                     28.86
32                     28.84
64                     29.14
128                    33.79
256                    36.60
512                    37.43
1024                   40.13
2048                   48.69
4096                   73.73
8192                  141.38
16384                 229.73
32768                 436.42
65536                1118.99
131072               2162.87
262144               4329.07
524288               8585.58
1048576             17561.33
2097152             36909.56
4194304             76699.19
8388608            155637.66
16777216           307103.43
33554432           619743.22
67108864          1245451.93
