
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      23.44
16                     23.39
32                     23.41
64                     23.51
128                    24.72
256                    30.71
512                    31.96
1024                   40.79
2048                   70.24
4096                  125.51
8192                  267.92
16384                 559.10
32768                1068.04
65536                2069.35
131072               4138.07
262144               4238.82
524288               8459.63
1048576             17313.84
2097152             36239.62
4194304             75414.20
8388608            154667.25
16777216           301024.22
33554432           648590.93
67108864          1298682.50
