
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      28.87
16                     28.82
32                     29.17
64                     29.09
128                    33.75
256                    36.80
512                    37.84
1024                   40.31
2048                   48.59
4096                   74.20
8192                  139.69
16384                 231.73
32768                 419.23
65536                1136.33
131072               2179.40
262144               4288.64
524288               8533.89
1048576             17599.10
2097152             36793.65
4194304             76665.03
8388608            156054.20
16777216           306436.07
33554432           620125.91
67108864          1243888.44
