
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.27              0.21              0.42        1000
16                      0.27              0.20              0.42        1000
32                      0.27              0.21              0.42        1000
64                      0.27              0.21              0.43        1000
128                     0.28              0.23              0.43        1000
256                     0.36              0.24              0.45        1000
512                     0.43              0.32              0.56        1000
1024                    0.47              0.34              0.58        1000
2048                    0.65              0.56              0.72        1000
4096                    0.85              0.65              1.15        1000
8192                    1.45              0.96              1.61        1000
16384                  60.83             59.86             61.60         100
32768                  64.65             62.40             65.46         100
65536                  71.32             69.25             73.19         100
131072                 85.42             83.63             86.42         100
262144                100.36             99.04            101.14         100
524288                169.69            160.03            178.93         100
1048576               363.27            358.07            365.47         100
2097152               951.70            941.22            963.64         100
4194304              2073.02           2060.60           2084.89         100
8388608              4337.42           4301.25           4369.68         100
16777216             9235.88           9144.42           9314.27         100
33554432            19458.96          19304.75          19560.35         100
67108864            39057.93          38649.18          39375.52         100
