
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.77              0.28              1.20        1000
16                      0.78              0.31              1.23        1000
32                      0.76              0.31              1.25        1000
64                      0.81              0.30              1.44        1000
128                     0.82              0.33              1.50        1000
256                     0.99              0.39              1.86        1000
512                     1.09              0.49              1.89        1000
1024                    1.32              0.87              1.88        1000
2048                    1.94              1.42              2.45        1000
4096                    2.49              1.96              3.05        1000
8192                    3.52              2.05              4.19        1000
16384                 375.02            363.27            390.36         100
32768                 407.32            377.53            432.21         100
65536                 402.04            374.92            422.68         100
131072                453.76            425.69            485.10         100
262144                681.63            550.77            713.43         100
524288                661.07            591.17            717.12         100
1048576               745.76            714.85            777.99         100
2097152              1240.74           1188.49           1320.66         100
4194304              2601.76           2458.38           2673.72         100
8388608              5615.39           5075.00           6123.16         100
16777216            10193.53           9721.90          10767.32         100
33554432            20504.47          19852.90          21142.15         100
67108864            42576.53          40914.77          44269.13         100
