
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.73              0.33             21.17        1000
16                      1.71              0.32             17.87        1000
32                      1.71              0.33             18.27        1000
64                      1.78              0.33             25.38        1000
128                     1.73              0.33             18.01        1000
256                     1.81              0.33             23.20        1000
512                     1.93              0.40             19.83        1000
1024                    2.04              0.42             20.58        1000
2048                    2.32              0.45             27.12        1000
4096                   30.15              0.55             56.43        1000
8192                   32.42              0.74             56.66        1000
16384                  46.30              2.84             71.61         100
32768                  53.28              3.59             83.00         100
65536                  47.88              5.09             80.76         100
131072                 73.61              9.29            115.56         100
262144                122.79             19.75            175.03         100
524288                302.92            101.23            453.46         100
1048576               934.70            461.76           1135.73         100
2097152              2354.33           1110.50           2745.81         100
4194304              5173.04           2233.99           5935.09         100
8388608             10786.14           4378.11          12371.91         100
16777216            21874.98           9035.04          24877.48         100
33554432            44668.47          18435.51          50620.06         100
67108864            89902.28          37288.37         102067.84         100
