
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.57              0.35              2.14        1000
16                      0.57              0.35              2.16        1000
32                      0.57              0.35              2.17        1000
64                      0.58              0.35              2.23        1000
128                     0.65              0.35              2.67        1000
256                     0.62              0.34              2.74        1000
512                     0.70              0.35              3.27        1000
1024                    0.82              0.42              3.74        1000
2048                    1.07              0.54              5.04        1000
4096                    1.40              0.57              7.63        1000
8192                    1.94              0.60             11.46        1000
16384                   3.42              1.06             15.44         100
32768                   5.75              1.85             24.58         100
65536                  21.26             12.96             41.21         100
131072                 55.93             40.09             78.88         100
262144                121.96            105.74            149.65         100
524288                256.02            242.69            285.08         100
1048576               500.51            488.04            528.53         100
2097152              1021.31           1009.95           1050.37         100
4194304              2158.05           2148.30           2189.24         100
8388608              4379.90           4370.37           4411.56         100
16777216             8826.54           8817.48           8860.02         100
33554432            17572.51          17562.45          17635.76         100
67108864            35780.15          35770.37          35852.75         100
