
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.66              0.67              6.64        1000
16                      1.65              0.66              6.73        1000
32                      1.70              0.65              6.79        1000
64                      1.73              0.67              6.89        1000
128                     1.84              0.72              7.72        1000
256                     1.94              0.72             10.73        1000
512                     2.21              0.79             14.29        1000
1024                    2.49              1.09             11.05        1000
2048                    3.33              1.50             13.60        1000
4096                    4.59              2.15             18.16        1000
8192                    7.10              3.03             26.75        1000
16384                  17.25              5.34             45.01         100
32768                  35.09             10.67             72.23         100
65536                  77.51             51.60            182.39         100
131072                172.71            137.23            254.46         100
262144                397.08            356.15            492.60         100
524288                950.65            887.52           1067.53         100
1048576              2083.73           2058.82           2167.38         100
2097152              3124.71           3089.59           3212.36         100
4194304              6347.32           6318.86           6439.99         100
8388608             13130.94          13099.33          13220.48         100
16777216            25369.93          25342.78          25455.31         100
33554432            52448.00          52415.16          52621.54         100
67108864           105136.91         104904.35         105298.90         100
