
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.86              0.35              1.33        1000
16                      0.86              0.31              2.54        1000
32                      0.79              0.28              1.32        1000
64                      0.77              0.29              1.31        1000
128                     0.80              0.30              1.42        1000
256                     1.54              0.90              2.19        1000
512                     1.04              0.44              1.72        1000
1024                    1.43              0.89              1.91        1000
2048                    1.93              1.37              2.39        1000
4096                    2.70              2.13              3.21        1000
8192                    3.43              1.76              5.25        1000
16384                 398.23            371.79            413.49         100
32768                 429.55            373.05            465.87         100
65536                 435.82            399.80            456.73         100
131072                481.27            415.35            524.05         100
262144                504.27            482.36            521.49         100
524288                651.40            589.93            711.97         100
1048576               752.74            709.78            786.71         100
2097152              1278.70           1159.45           1366.43         100
4194304              2679.10           2543.25           2757.96         100
8388608              6267.09           5751.15           6785.36         100
16777216            10236.02           9981.42          10511.05         100
33554432            20108.08          19145.42          20836.13         100
67108864            41627.12          39444.14          42945.88         100
