
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.04              0.32              4.95        1000
16                      1.04              0.32              4.95        1000
32                      1.06              0.32              5.17        1000
64                      1.04              0.33              4.99        1000
128                     1.10              0.35              5.15        1000
256                     1.09              0.33              5.30        1000
512                     1.24              0.39              5.67        1000
1024                    1.35              0.42              6.15        1000
2048                    1.62              0.47              8.43        1000
4096                    7.54              0.52             13.45        1000
8192                    8.45              0.66             14.42        1000
16384                  12.42              2.43             18.96         100
32768                  18.86              2.93             28.55         100
65536                  33.60              4.71             47.08         100
131072                 51.09              8.64             69.98         100
262144                 99.07             17.28            129.15         100
524288                272.10             89.04            330.10         100
1048576               860.04            470.71            967.66         100
2097152              2276.90           1178.78           2527.26         100
4194304              5129.59           2374.22           5712.36         100
8388608             10823.37           4741.62          12070.32         100
16777216            22508.68           9408.26          25086.05         100
33554432            46151.78          19509.44          51470.71         100
67108864            92619.39          38121.05         103482.76         100
