
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.25              0.22              0.41        1000
16                      0.26              0.24              0.41        1000
32                      0.25              0.23              0.40        1000
64                      0.25              0.23              0.41        1000
128                     0.27              0.23              0.40        1000
256                     0.34              0.26              0.42        1000
512                     0.37              0.27              0.44        1000
1024                    0.44              0.36              0.53        1000
2048                    0.66              0.56              0.73        1000
4096                    0.79              0.65              0.88        1000
8192                    1.42              0.99              1.52        1000
16384                  59.01             57.89             59.72         100
32768                  63.91             62.06             64.75         100
65536                  81.21             78.47             82.64         100
131072                 83.84             81.20             90.29         100
262144                102.63            101.32            103.24         100
524288                163.07            158.76            167.99         100
1048576               355.73            347.84            362.65         100
2097152               924.17            898.68            933.42         100
4194304              2003.38           1967.33           2028.32         100
8388608              4170.19           4118.30           4211.96         100
16777216             8762.47           8661.55           8827.77         100
33554432            18413.07          18215.98          18555.86         100
67108864            38162.82          37729.87          38316.21         100
