
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.74              0.32              1.25        1000
16                      0.73              0.31              1.23        1000
32                      0.75              0.31              1.33        1000
64                      0.75              0.36              1.25        1000
128                     0.76              0.36              1.30        1000
256                     0.89              0.38              1.54        1000
512                     0.99              0.50              1.72        1000
1024                    1.34              0.79              1.88        1000
2048                    1.93              1.35              2.41        1000
4096                    2.43              1.83              2.92        1000
8192                    3.64              2.14              4.28        1000
16384                 386.35            366.54            429.43         100
32768                 394.75            376.77            410.14         100
65536                 417.75            382.66            476.00         100
131072                460.28            438.10            481.65         100
262144                559.15            529.59            584.97         100
524288                642.13            596.22            678.68         100
1048576               731.90            676.61            790.91         100
2097152              1214.10           1148.47           1282.01         100
4194304              2599.15           2515.91           2666.55         100
8388608              5620.44           5083.85           6141.08         100
16777216             9984.40           9636.92          10430.17         100
33554432            20313.81          19435.38          21171.72         100
67108864            43241.57          41876.36          44737.42         100
