
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.06              0.33              4.99        1000
16                      1.05              0.34              4.98        1000
32                      1.13              0.34              6.44        1000
64                      1.07              0.34              5.18        1000
128                     1.07              0.34              5.08        1000
256                     1.10              0.34              5.20        1000
512                     1.25              0.40              5.83        1000
1024                    1.35              0.43              6.20        1000
2048                    1.53              0.45              7.14        1000
4096                    7.54              0.54             13.29        1000
8192                    8.63              0.64             14.78        1000
16384                  12.41              2.31             19.20         100
32768                  19.42              2.87             28.93         100
65536                  30.24              4.64             43.45         100
131072                 52.54              9.49             71.79         100
262144                101.49             17.83            133.78         100
524288                278.65             95.89            334.80         100
1048576               858.99            470.66            971.95         100
2097152              2281.20           1181.80           2533.53         100
4194304              5125.21           2391.63           5714.92         100
8388608             10850.65           4816.75          12084.53         100
16777216            22433.84           9514.86          24990.83         100
33554432            46131.84          19386.18          51388.40         100
67108864            92885.69          38066.94         103721.04         100
