
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.57              0.32              2.45        1000
16                      0.56              0.32              2.32        1000
32                      0.57              0.32              2.34        1000
64                      0.57              0.32              2.41        1000
128                     0.60              0.31              2.70        1000
256                     0.62              0.31              2.86        1000
512                     0.71              0.31              3.33        1000
1024                    0.82              0.39              4.00        1000
2048                    1.04              0.49              5.03        1000
4096                    1.36              0.56              7.74        1000
8192                    1.91              0.64             11.72        1000
16384                   3.46              1.10             15.83         100
32768                   5.74              1.91             23.72         100
65536                  21.19             14.29             39.68         100
131072                 55.13             44.77             77.19         100
262144                121.92            105.22            144.12         100
524288                254.21            243.17            279.45         100
1048576               509.22            500.28            541.97         100
2097152              1029.23           1020.04           1060.68         100
4194304              2208.18           2198.61           2240.67         100
8388608              4489.10           4480.10           4522.33         100
16777216             9032.68           9022.99           9067.45         100
33554432            18073.87          18064.06          18140.55         100
67108864            36670.22          36649.19          36743.24         100
