
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.87              0.27              1.44        1000
16                      0.87              0.32              1.34        1000
32                      0.84              0.29              1.63        1000
64                      0.83              0.32              1.37        1000
128                     0.86              0.36              1.44        1000
256                     1.04              0.45              1.70        1000
512                     1.12              0.44              2.04        1000
1024                    1.60              1.12              2.05        1000
2048                    1.98              1.45              2.47        1000
4096                    2.90              2.43              3.41        1000
8192                    3.48              1.49              4.32        1000
16384                 378.65            359.32            399.60         100
32768                 380.77            366.74            391.08         100
65536                 425.25            387.66            472.84         100
131072                455.26            435.53            469.84         100
262144                557.43            523.82            578.54         100
524288                634.01            586.28            677.02         100
1048576               698.86            665.70            730.24         100
2097152              1264.28           1184.02           1352.44         100
4194304              2512.85           2436.43           2564.89         100
8388608              5608.84           5066.39           6095.76         100
16777216            10082.96           9723.99          10488.74         100
33554432            20367.03          19509.64          21142.69         100
67108864            42765.15          40843.66          44601.87         100
