
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.68              0.33             18.12        1000
16                      1.76              0.32             22.08        1000
32                      1.76              0.33             22.97        1000
64                      1.73              0.32             17.89        1000
128                     1.72              0.33             18.24        1000
256                     1.73              0.34             17.83        1000
512                     1.98              0.40             23.41        1000
1024                    2.09              0.42             25.38        1000
2048                    2.27              0.45             23.78        1000
4096                   27.97              0.54             52.01        1000
8192                   32.56              0.73             56.80        1000
16384                  30.58              3.02             55.30         100
32768                  38.34              3.59             65.67         100
65536                  50.71              4.93             84.24         100
131072                 74.45              8.84            114.87         100
262144                140.24             19.53            214.77         100
524288                339.27             96.62            432.20         100
1048576               944.45            459.21           1126.49         100
2097152              2302.11           1107.34           2728.48         100
4194304              5381.12           2249.70           6329.63         100
8388608             10798.20           4348.11          12935.75         100
16777216            21876.26           8889.52          24952.77         100
33554432            44598.54          18308.29          50854.66         100
67108864            89944.71          37660.77         102546.47         100
