
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.56              0.34              2.22        1000
16                      0.57              0.34              2.49        1000
32                      0.56              0.34              2.26        1000
64                      0.58              0.34              2.41        1000
128                     0.60              0.34              2.68        1000
256                     0.62              0.34              2.77        1000
512                     0.68              0.34              3.27        1000
1024                    0.84              0.42              3.90        1000
2048                    1.09              0.52              5.29        1000
4096                    1.39              0.57              7.91        1000
8192                    1.92              0.62             11.95        1000
16384                   3.45              1.11             16.03         100
32768                   5.65              1.88             23.98         100
65536                  21.91             14.50             42.56         100
131072                 53.86             42.44             75.16         100
262144                122.51            106.21            149.30         100
524288                253.70            239.40            277.80         100
1048576               503.38            492.29            532.51         100
2097152              1028.07           1017.72           1058.02         100
4194304              2174.41           2164.94           2206.18         100
8388608              4459.90           4450.27           4493.68         100
16777216             8901.05           8892.21           8934.96         100
33554432            17884.25          17875.01          17947.78         100
67108864            36335.72          36325.80          36406.19         100
