
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.75              0.34             23.91        1000
16                      1.74              0.34             19.02        1000
32                      1.70              0.34             17.77        1000
64                      1.71              0.34             17.84        1000
128                     1.76              0.35             17.86        1000
256                     1.80              0.35             23.79        1000
512                     1.94              0.40             20.69        1000
1024                    2.04              0.42             20.28        1000
2048                    2.26              0.45             22.37        1000
4096                   28.30              0.56             58.61        1000
8192                   29.64              0.72             53.56        1000
16384                  30.42              3.11             53.42         100
32768                  36.48              3.69             62.40         100
65536                 104.47              5.03            151.65         100
131072                 75.42              9.03            116.20         100
262144                119.57             19.18            169.71         100
524288                308.47             98.45            405.32         100
1048576               906.93            469.93           1107.71         100
2097152              2315.43           1074.69           2772.29         100
4194304              5232.88           2222.07           6021.46         100
8388608             10768.02           4419.08          12418.28         100
16777216            22248.04           9111.28          25606.64         100
33554432            44605.93          18158.30          51017.68         100
67108864            90354.73          37161.90         102883.89         100
