
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.74              1.34              4.51        1000
16                      2.73              1.34              4.51        1000
32                      2.75              1.34              4.54        1000
64                      2.80              1.35              4.56        1000
128                     2.77              1.36              4.56        1000
256                     2.84              1.40              4.61        1000
512                     3.27              1.57              5.11        1000
1024                    3.53              1.73              5.43        1000
2048                    3.81              1.79              5.84        1000
4096                    4.10              1.92              6.29        1000
8192                    4.76              2.17              7.35        1000
16384                  63.31             62.78             63.88         100
32768                  75.85             69.99             84.75         100
65536                  83.01             81.28             84.83         100
131072                103.42             98.81            106.91         100
262144                140.69            135.00            143.38         100
524288                231.21            212.85            240.65         100
1048576               453.75            430.12            459.84         100
2097152              1196.25           1169.47           1211.33         100
4194304              2637.10           2557.38           2682.74         100
8388608              5501.49           5335.75           5584.04         100
16777216            11514.97          11182.86          11652.83         100
33554432            23761.61          23160.21          24028.54         100
67108864            49036.47          48060.90          49496.57         100
