
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.25              0.23              0.38        1000
16                      0.25              0.23              0.38        1000
32                      0.25              0.23              0.38        1000
64                      0.25              0.23              0.38        1000
128                     0.27              0.23              0.39        1000
256                     0.33              0.26              0.42        1000
512                     0.38              0.27              0.61        1000
1024                    0.44              0.38              0.54        1000
2048                    0.70              0.59              0.79        1000
4096                    0.91              0.72              0.99        1000
8192                    1.50              1.12              1.66        1000
16384                  62.21             60.01             64.14         100
32768                  63.22             61.55             64.06         100
65536                  69.96             68.03             70.92         100
131072                 83.01             80.39             84.22         100
262144                100.44             99.40            100.85         100
524288                157.19            155.91            159.02         100
1048576               359.86            352.71            367.00         100
2097152               925.58            916.22            935.58         100
4194304              1988.93           1972.22           2010.54         100
8388608              4166.44           4119.79           4206.68         100
16777216             8754.65           8669.82           8817.32         100
33554432            18406.01          18243.87          18531.06         100
67108864            38297.08          37983.96          38446.08         100
