
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.70              1.36              4.48        1000
16                      2.69              1.36              4.49        1000
32                      2.71              1.35              4.49        1000
64                      2.70              1.37              4.51        1000
128                     2.74              1.38              4.54        1000
256                     2.84              1.40              4.64        1000
512                     3.22              1.60              5.01        1000
1024                    3.50              1.73              5.39        1000
2048                    3.77              1.81              5.86        1000
4096                    4.12              1.98              6.37        1000
8192                    4.86              2.19              7.45        1000
16384                  63.19             62.63             64.09         100
32768                  74.02             68.01             77.00         100
65536                  82.53             79.96             84.87         100
131072                103.80             98.58            107.79         100
262144                141.01            136.92            143.45         100
524288                215.62            208.30            219.82         100
1048576               483.56            452.94            498.89         100
2097152              1240.86           1204.30           1266.70         100
4194304              2710.41           2621.91           2772.55         100
8388608              5658.53           5492.17           5765.46         100
16777216            11855.80          11550.36          12039.85         100
33554432            24734.59          24179.76          25042.19         100
67108864            49573.54          48495.30          50076.41         100
