
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.69              1.30              4.43        1000
16                      2.77              1.29              6.71        1000
32                      2.68              1.30              4.42        1000
64                      2.71              1.32              4.46        1000
128                     2.71              1.32              4.47        1000
256                     2.80              1.34              4.51        1000
512                     3.29              1.56              5.19        1000
1024                    3.50              1.70              5.39        1000
2048                    3.73              1.79              5.77        1000
4096                    4.02              1.90              6.28        1000
8192                    4.76              2.18              7.38        1000
16384                  62.68             61.70             63.58         100
32768                  74.52             69.11             77.14         100
65536                  84.08             81.33             86.48         100
131072                104.04             98.84            108.13         100
262144                137.61            132.67            140.27         100
524288                219.61            213.51            223.66         100
1048576               474.65            455.55            483.84         100
2097152              1194.54           1172.75           1210.17         100
4194304              2641.41           2574.47           2674.26         100
8388608              5486.54           5320.13           5566.87         100
16777216            11485.10          11171.56          11622.57         100
33554432            23704.01          23014.89          23958.60         100
67108864            49101.19          47981.54          49546.54         100
