
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.06              0.33              5.08        1000
16                      1.06              0.33              5.14        1000
32                      1.05              0.33              5.17        1000
64                      1.05              0.33              5.14        1000
128                     1.08              0.33              5.59        1000
256                     1.09              0.34              5.38        1000
512                     1.24              0.40              5.87        1000
1024                    1.34              0.42              6.29        1000
2048                    1.59              0.44              8.63        1000
4096                    7.51              0.52             13.41        1000
8192                    8.86              0.66             15.13        1000
16384                  12.43              2.33             19.20         100
32768                  18.66              2.86             28.28         100
65536                  33.00              4.42             46.82         100
131072                 52.91              8.91             72.55         100
262144                101.75             18.77            131.87         100
524288                275.03             97.36            334.20         100
1048576               853.31            468.26            964.61         100
2097152              2259.03           1172.47           2511.26         100
4194304              5129.60           2373.48           5713.84         100
8388608             10941.52           4823.48          12199.45         100
16777216            22641.46           9701.51          25205.84         100
33554432            46390.02          19430.43          51683.00         100
67108864            93713.45          37993.55         104621.46         100
