
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       2.80              1.44              4.54        1000
16                      2.72              1.37              4.53        1000
32                      2.70              1.38              4.46        1000
64                      2.83              1.39              4.89        1000
128                     2.79              1.40              4.49        1000
256                     2.85              1.41              4.63        1000
512                     3.26              1.60              5.07        1000
1024                    3.50              1.75              5.29        1000
2048                    4.26              1.89              6.59        1000
4096                    4.06              1.96              6.33        1000
8192                    4.83              2.30              7.38        1000
16384                  62.43             61.74             63.11         100
32768                  73.01             67.27             75.89         100
65536                  84.18             80.64             87.74         100
131072                104.80             99.55            108.89         100
262144                147.34            137.01            156.28         100
524288                212.89            206.49            215.14         100
1048576               468.41            433.87            477.14         100
2097152              1234.83           1214.70           1252.56         100
4194304              2702.00           2628.19           2742.16         100
8388608              5648.24           5506.84           5731.84         100
16777216            11893.78          11583.89          12069.66         100
33554432            24697.12          24182.71          24993.47         100
67108864            49732.57          48910.02          50137.39         100
