
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      10.00              3.87             18.39        1000
16                      9.14              4.44             16.15        1000
32                      9.16              3.82             16.37        1000
64                      8.94              3.80             16.28        1000
128                     9.28              3.96             16.44        1000
256                     9.48              4.29             16.36        1000
512                    10.27              5.25             17.02        1000
1024                   10.85              5.55             17.61        1000
2048                   11.98              5.02             20.45        1000
4096                   11.67              5.49             19.35        1000
8192                   13.27              6.00             21.44        1000
16384                 382.95            365.08            401.76         100
32768                 428.60            414.90            438.98         100
65536                 414.85            393.54            437.38         100
131072                502.45            480.17            518.57         100
262144                549.67            527.84            567.24         100
524288                707.08            675.60            746.72         100
1048576               967.27            904.32           1029.00         100
2097152              1837.29           1685.40           1986.23         100
4194304              3716.51           3262.57           4065.31         100
8388608              7556.82           7234.55           7885.89         100
16777216            14618.97          13655.89          15504.84         100
33554432            29384.43          27426.47          30990.69         100
67108864            60663.79          56977.62          64108.11         100
