
# OSU MPI Reduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.56              0.33              2.33        1000
16                      0.57              0.34              2.45        1000
32                      0.56              0.34              2.34        1000
64                      0.57              0.33              2.41        1000
128                     0.59              0.35              2.60        1000
256                     0.62              0.34              2.87        1000
512                     0.68              0.34              3.33        1000
1024                    0.82              0.42              4.07        1000
2048                    1.07              0.53              5.20        1000
4096                    1.37              0.59              7.74        1000
8192                    1.96              0.68             12.75        1000
16384                   3.45              1.13             15.86         100
32768                   5.62              1.90             22.79         100
65536                  21.03             13.12             40.85         100
131072                 54.83             39.71             76.47         100
262144                124.04            110.02            150.02         100
524288                257.77            245.16            288.36         100
1048576               514.90            497.93            545.74         100
2097152              1043.43           1033.70           1074.27         100
4194304              2181.78           2171.20           2214.42         100
8388608              4458.58           4449.09           4490.24         100
16777216             8976.27           8966.68           9008.77         100
33554432            18167.22          18156.98          18239.17         100
67108864            36326.41          36316.41          36398.39         100
