
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.99              3.89             16.52        1000
16                      8.89              3.83             16.32        1000
32                      8.95              3.59             16.34        1000
64                      8.94              3.91             16.39        1000
128                     9.10              3.68             16.44        1000
256                     9.34              4.22             16.46        1000
512                    10.20              5.16             17.27        1000
1024                   10.85              5.29             17.75        1000
2048                   12.14              4.83             20.80        1000
4096                   11.67              5.28             19.51        1000
8192                   13.34              5.59             23.17        1000
16384                 409.62            388.30            442.98         100
32768                 395.42            368.30            425.71         100
65536                 438.23            420.54            459.65         100
131072                477.10            452.64            509.22         100
262144                618.39            594.20            651.33         100
524288                692.86            667.78            715.42         100
1048576               919.05            869.71            977.36         100
2097152              1828.09           1683.62           2002.12         100
4194304              3772.05           3315.33           4164.50         100
8388608              7683.47           7301.83           8027.29         100
16777216            14498.95          13825.79          15201.15         100
33554432            29470.34          27553.03          31147.77         100
67108864            60975.26          56891.36          64678.51         100
