
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.72              0.32             18.36        1000
16                      1.85              0.32             24.78        1000
32                      1.74              0.32             20.23        1000
64                      1.71              0.32             17.92        1000
128                     1.73              0.33             18.10        1000
256                     1.74              0.33             17.97        1000
512                     1.98              0.37             26.20        1000
1024                    2.03              0.40             20.80        1000
2048                    2.31              0.44             25.87        1000
4096                   27.74              0.54             58.76        1000
8192                   28.28              0.74             51.73        1000
16384                  30.06              3.09             53.43         100
32768                  39.46              3.56             66.38         100
65536                  47.31              5.03             79.36         100
131072                 80.20              8.99            121.86         100
262144                126.20             19.31            208.88         100
524288                320.25            106.16            407.38         100
1048576               902.57            465.72           1107.91         100
2097152              2359.33           1092.27           2769.03         100
4194304              5264.10           2199.04           6039.13         100
8388608             11193.38           4445.49          12941.15         100
16777216            21786.10           9010.54          24872.56         100
33554432            44466.16          18217.52          50734.33         100
67108864            89922.02          36623.81         102187.09         100
