
# OSU MPI Broadcast Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       8.92              3.89             15.69        1000
16                      8.98              4.05             16.01        1000
32                      8.94              3.89             16.00        1000
64                      9.10              3.96             16.08        1000
128                     9.16              4.06             16.22        1000
256                    10.24              4.36             18.34        1000
512                    10.28              5.17             16.89        1000
1024                   10.79              5.35             17.24        1000
2048                   11.04              5.01             17.99        1000
4096                   11.57              5.01             19.05        1000
8192                   13.12              5.83             21.05        1000
16384                 387.49            372.74            409.56         100
32768                 414.27            386.26            440.50         100
65536                 419.01            396.03            440.15         100
131072                487.00            463.68            508.27         100
262144                574.43            550.43            594.71         100
524288                682.02            654.57            733.76         100
1048576              1071.94            996.92           1149.05         100
2097152              1938.22           1790.86           2094.24         100
4194304              3603.94           3188.08           3919.72         100
8388608              7520.29           7187.68           7878.36         100
16777216            14352.46          13539.53          15135.30         100
33554432            29653.29          27884.56          31141.02         100
67108864            59813.94          55553.45          63316.88         100
