
# OSU MPI Reduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       1.05              0.32              5.06        1000
16                      1.05              0.31              5.20        1000
32                      1.05              0.31              5.07        1000
64                      1.06              0.32              5.21        1000
128                     1.13              0.32              5.27        1000
256                     1.08              0.33              5.37        1000
512                     1.25              0.39              5.88        1000
1024                    1.34              0.42              6.28        1000
2048                    1.54              0.45              7.25        1000
4096                    7.49              0.54             13.18        1000
8192                    8.69              0.64             14.92        1000
16384                  12.62              2.29             19.38         100
32768                  18.70              2.80             28.11         100
65536                  30.16              4.59             43.40         100
131072                 52.45              8.83             71.48         100
262144                 99.37             17.39            129.50         100
524288                273.57             93.59            330.97         100
1048576               846.27            464.72            953.72         100
2097152              2250.81           1157.25           2503.41         100
4194304              4985.34           2308.67           5572.43         100
8388608             10722.15           4789.32          11937.19         100
16777216            22549.84           9263.03          25135.71         100
33554432            46437.13          19160.36          51815.93         100
67108864            94190.19          38164.90         105204.00         100
