
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                       0.26              0.21              0.41        1000
16                      0.26              0.21              0.41        1000
32                      0.26              0.21              0.41        1000
64                      0.26              0.22              0.41        1000
128                     0.27              0.22              0.41        1000
256                     0.35              0.25              0.42        1000
512                     0.38              0.27              0.47        1000
1024                    0.46              0.34              0.56        1000
2048                    0.67              0.53              0.78        1000
4096                    0.87              0.67              0.92        1000
8192                    1.42              0.79              1.57        1000
16384                  60.56             58.41             62.00         100
32768                  65.97             64.58             66.94         100
65536                  71.89             70.67             73.06         100
131072                 88.63             84.69             89.69         100
262144                198.50            121.78            223.57         100
524288                164.33            159.63            171.63         100
1048576               363.93            350.88            374.63         100
2097152               989.01            975.45           1000.24         100
4194304              2133.71           2112.86           2160.57         100
8388608              4395.60           4355.29           4430.80         100
16777216             9165.93           9109.09           9232.23         100
33554432            19633.84          19491.53          19773.32         100
67108864            38923.20          38421.91          39254.67         100
