
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.91
16                      3.13
32                      3.14
64                      3.35
128                     3.51
256                     3.64
512                     9.29
1024                   10.01
2048                   11.62
4096                   14.68
8192                   20.70
16384                  33.21
32768                  53.73
65536                  78.98
131072                133.77
262144                 95.74
524288                185.10
1048576               487.03
2097152              1633.67
4194304              4497.57
8388608             10543.39
16777216            22764.30
33554432            49791.66
67108864           102118.37
