
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       4.03
16                      4.17
32                      4.27
64                      4.35
128                     4.57
256                     4.78
512                     8.50
1024                    9.14
2048                   10.19
4096                   11.89
8192                   14.58
16384                  20.32
32768                  32.74
65536                  36.93
131072                 54.74
262144                 92.64
524288                183.48
1048576               471.64
2097152              1626.71
4194304              4397.26
8388608             10300.33
16777216            22203.14
33554432            46732.30
67108864            95322.12
