
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.98
16                      3.16
32                      3.25
64                      3.33
128                     3.44
256                     3.68
512                     9.14
1024                   10.23
2048                   11.81
4096                   14.67
8192                   21.04
16384                  32.98
32768                  53.75
65536                  82.59
131072                135.01
262144                 96.17
524288                185.36
1048576               488.28
2097152              1636.93
4194304              4438.66
8388608             10575.09
16777216            22722.98
33554432            49829.24
67108864           102441.44
