
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.87
16                      3.12
32                      3.13
64                      3.31
128                     3.52
256                     3.65
512                     9.36
1024                    9.99
2048                   11.68
4096                   14.61
8192                   20.78
16384                  33.05
32768                  53.65
65536                  77.42
131072                133.93
262144                 95.53
524288                182.44
1048576               474.68
2097152              1628.07
4194304              4497.94
8388608             10464.83
16777216            22778.48
33554432            49777.99
67108864           102691.43
