
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.89
16                      4.12
32                      4.19
64                      4.41
128                     4.83
256                     4.89
512                     8.50
1024                    9.17
2048                   10.09
4096                   11.79
8192                   14.86
16384                  22.22
32768                  32.75
65536                  38.55
131072                 54.00
262144                 93.53
524288                181.63
1048576               469.58
2097152              1587.97
4194304              4348.38
8388608             10250.14
16777216            22302.01
33554432            46818.92
67108864            94997.24
