
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.10
16                      3.17
32                      3.26
64                      3.37
128                     3.45
256                     3.66
512                     9.24
1024                    9.94
2048                   11.57
4096                   14.56
8192                   20.57
16384                  33.81
32768                  53.04
65536                  76.99
131072                134.64
262144                 95.34
524288                182.86
1048576               478.49
2097152              1629.78
4194304              4454.79
8388608             10561.08
16777216            22881.78
33554432            49837.53
67108864           102810.62
