
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.88
16                      4.65
32                      4.40
64                      4.37
128                     4.55
256                     4.88
512                     8.64
1024                    9.10
2048                   10.77
4096                   11.88
8192                   14.93
16384                  21.34
32768                  32.01
65536                  38.42
131072                 54.65
262144                 91.39
524288                181.77
1048576               469.59
2097152              1600.01
4194304              4380.56
8388608             10312.90
16777216            22304.74
33554432            46921.98
67108864            95366.19
