
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.96
16                      3.10
32                      3.14
64                      3.36
128                     3.44
256                     3.65
512                     9.32
1024                   10.14
2048                   11.61
4096                   14.69
8192                   20.93
16384                  34.08
32768                  53.29
65536                  76.56
131072                135.03
262144                 95.64
524288                184.24
1048576               518.94
2097152              1672.96
4194304              4481.58
8388608             10589.17
16777216            22743.94
33554432            50067.12
67108864           102725.78
