
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.89
16                      4.26
32                      4.27
64                      4.32
128                     4.61
256                     4.82
512                     8.55
1024                    9.25
2048                   10.27
4096                   11.72
8192                   14.86
16384                  20.06
32768                  31.22
65536                  36.50
131072                 54.46
262144                 92.29
524288                182.14
1048576               458.89
2097152              1600.14
4194304              4384.16
8388608             10184.07
16777216            22212.37
33554432            46857.66
67108864            95326.74
