
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.99
16                      3.23
32                      3.26
64                      3.29
128                     3.47
256                     3.66
512                     9.30
1024                   10.07
2048                   11.79
4096                   14.82
8192                   20.97
16384                  33.39
32768                  53.83
65536                 113.10
131072                170.13
262144                 95.67
524288                182.88
1048576               469.21
2097152              1637.20
4194304              4415.24
8388608             10514.56
16777216            22762.41
33554432            50042.20
67108864           102618.30
