
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.91
16                      3.12
32                      3.14
64                      3.30
128                     3.43
256                     3.72
512                     9.33
1024                   10.03
2048                   11.71
4096                   14.86
8192                   20.85
16384                  33.19
32768                  52.94
65536                  77.75
131072                134.20
262144                 96.10
524288                186.78
1048576               481.26
2097152              1647.96
4194304              4481.90
8388608             10584.42
16777216            22793.19
33554432            50079.35
67108864           103218.24
