
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.87
16                      4.29
32                      4.49
64                      4.72
128                     4.55
256                     5.02
512                     8.55
1024                    9.13
2048                    9.99
4096                   11.66
8192                   14.75
16384                  20.96
32768                  31.62
65536                  37.32
131072                 53.55
262144                 92.43
524288                173.20
1048576               457.61
2097152              1576.71
4194304              4348.64
8388608             10243.92
16777216            22309.68
33554432            46754.63
67108864            95563.08
