
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       2.92
16                      3.18
32                      3.13
64                      3.34
128                     3.52
256                     3.73
512                     9.36
1024                   10.25
2048                   11.86
4096                   14.66
8192                   20.58
16384                  33.03
32768                  53.85
65536                  80.27
131072                136.40
262144                 96.41
524288                183.84
1048576               483.81
2097152              1688.23
4194304              4563.28
8388608             10609.06
16777216            22886.72
33554432            50434.61
67108864           102617.05
