
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.90
16                      4.28
32                      6.00
64                      4.62
128                     4.67
256                     4.79
512                     8.37
1024                    8.93
2048                    9.92
4096                   11.76
8192                   14.69
16384                  20.25
32768                  31.76
65536                  36.68
131072                 54.63
262144                 92.39
524288                180.81
1048576               454.29
2097152              1575.08
4194304              4378.97
8388608             10334.24
16777216            22363.41
33554432            46839.48
67108864            95093.37
