
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       3.87
16                      4.23
32                      4.27
64                      4.43
128                     4.57
256                     4.87
512                     8.44
1024                    9.26
2048                   10.34
4096                   11.76
8192                   15.38
16384                  21.54
32768                  31.11
65536                  37.59
131072                 53.44
262144                 91.59
524288                181.94
1048576               466.97
2097152              1593.32
4194304              4383.68
8388608             10280.67
16777216            22247.80
33554432            46697.70
67108864            95198.42
