
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.79
16                      9.84
32                      9.97
64                     10.30
128                    10.93
256                    11.60
512                    21.65
1024                   24.04
2048                   24.92
4096                   28.78
8192                   36.74
16384                  55.01
32768                  99.99
65536                  86.67
131072                110.27
262144                153.75
524288                359.68
1048576               548.95
2097152              1969.78
4194304              4984.39
8388608             11616.85
16777216            24066.93
33554432            49823.44
67108864            99794.29
