
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.75
16                      9.84
32                      9.99
64                     10.55
128                    11.03
256                    11.79
512                    20.96
1024                   23.85
2048                   24.80
4096                   27.95
8192                   36.69
16384                  55.29
32768                 101.97
65536                  90.91
131072                113.67
262144                245.77
524288                285.08
1048576               634.07
2097152              1912.74
4194304              5163.49
8388608             11482.20
16777216            24059.94
33554432            49782.07
67108864            99710.56
