
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.35
16                      9.19
32                      9.48
64                      9.92
128                    10.49
256                    11.40
512                    18.57
1024                   20.67
2048                   21.68
4096                   41.73
8192                   47.73
16384                  48.89
32768                  63.39
65536                  85.57
131072                117.54
262144                165.72
524288                357.00
1048576               577.26
2097152              2045.35
4194304              5209.16
8388608             11611.59
16777216            24501.63
33554432            53830.63
67108864           108987.84
