
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.50
16                     10.12
32                     10.01
64                     10.51
128                    11.11
256                    14.84
512                    21.67
1024                   23.59
2048                   24.69
4096                   27.76
8192                   36.30
16384                  54.82
32768                 101.30
65536                  90.15
131072                112.88
262144                152.36
524288                245.45
1048576               619.17
2097152              2011.30
4194304              5133.05
8388608             11274.90
16777216            23980.09
33554432            49784.47
67108864            99966.69
