
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.63
16                      9.83
32                      9.93
64                     10.70
128                    10.95
256                    14.96
512                    20.71
1024                   26.41
2048                   24.91
4096                   27.91
8192                   37.96
16384                  55.65
32768                 102.35
65536                  86.81
131072                111.70
262144                219.54
524288                256.75
1048576               622.10
2097152              1991.81
4194304              4854.94
8388608             11213.75
16777216            23874.75
33554432            49929.63
67108864            99757.98
