
# OSU MPI Allreduce Persistent Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                      13.27
16                      9.67
32                      9.98
64                     10.39
128                    14.58
256                    11.53
512                    21.95
1024                   23.98
2048                   24.97
4096                   28.32
8192                   40.67
16384                  54.88
32768                 103.16
65536                  88.63
131072                111.73
262144                151.12
524288                271.53
1048576               544.98
2097152              1945.46
4194304              5024.29
8388608             11336.55
16777216            24092.01
33554432            49892.95
67108864            99878.67
