
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.20
16                      9.20
32                      9.67
64                     10.09
128                    10.66
256                    19.45
512                    18.09
1024                   20.71
2048                   29.70
4096                   33.08
8192                   48.07
16384                  49.70
32768                  63.56
65536                  86.51
131072                116.17
262144                168.42
524288                359.20
1048576               671.33
2097152              2091.31
4194304              5223.22
8388608             11558.58
16777216            24467.84
33554432            53286.45
67108864           108404.55
