
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.02
16                      8.80
32                     20.47
64                     10.05
128                    10.68
256                    11.67
512                    18.32
1024                   20.57
2048                   21.20
4096                   41.02
8192                   40.39
16384                  49.91
32768                  65.86
65536                 168.16
131072                153.75
262144                172.44
524288                278.91
1048576               625.65
2097152              2056.05
4194304              5215.11
8388608             11555.52
16777216            24351.65
33554432            53578.18
67108864           109266.39
