
# OSU MPI Allreduce Latency Test v7.4
# Datatype: MPI_FLOAT.
# Size       Avg Latency(us)
8                       8.11
16                      9.04
32                      9.39
64                      9.88
128                    10.46
256                    11.34
512                    18.12
1024                   20.50
2048                   21.43
4096                   32.37
8192                   47.66
16384                  49.88
32768                  65.78
65536                  86.70
131072                117.01
262144                169.56
524288                363.65
1048576               661.04
2097152              2041.53
4194304              5059.05
8388608             11777.78
16777216            24496.73
33554432            54317.80
67108864           108629.36
